,Date,equal_ret,market_ret,long_ret,short_ret,long_short
0,2002-01-31,-0.041687,-6.19e-06,-0.03186,-0.043924,0.012064
1,2002-02-28,0.046475,6.66e-06,0.074265,0.02227,0.051995
2,2002-03-28,-0.011813,-2.85e-06,-2.7e-05,-0.02204,0.022013
3,2002-04-30,-0.018408,-3.51e-06,-0.019699,-0.027626,0.007927
4,2002-05-31,-0.035311,-5.07e-06,-0.03327,-0.045449,0.012179
5,2002-06-28,-0.034478,-2.54e-06,-0.023744,-0.050883,0.027139
6,2002-07-31,-0.025779,-4.97e-06,-0.004889,-0.041297,0.036408
7,2002-08-30,-0.012039,-1.63e-06,0.001344,-0.028071,0.029415
8,2002-09-30,-0.048772,-6e-06,-0.034915,-0.061337,0.026422
9,2002-10-31,0.039205,2.79e-06,0.045871,0.020851,0.02502
10,2002-11-29,-0.015967,-3.39e-06,-0.003252,-0.028134,0.024882
11,2002-12-31,0.026334,4.31e-06,0.036166,-0.004353,0.040519
12,2003-01-31,-0.0221,-4.34e-06,-0.008926,-0.028439,0.019513
13,2003-02-28,-0.017048,-2.05e-06,-0.008404,-0.020325,0.011921
14,2003-03-31,0.030004,5.16e-06,0.046547,0.006065,0.040482
15,2003-04-30,0.037142,2.71e-06,0.047002,0.02946,0.017542
16,2003-05-30,0.037034,3.83e-06,0.04585,0.034259,0.011591
17,2003-06-30,0.04477,5.29e-06,0.052224,0.03056,0.021664
18,2003-07-31,-0.023985,-2.86e-06,-0.00987,-0.027407,0.017537
19,2003-08-29,0.036711,3.91e-06,0.045778,0.027391,0.018387
20,2003-09-30,0.043997,6.73e-06,0.064851,0.023138,0.041713
21,2003-10-31,0.023873,1.19e-06,0.02869,0.017066,0.011624
22,2003-11-28,0.001829,2.4e-07,0.0136,0.000183,0.013417
23,2003-12-31,0.038943,3.31e-06,0.044805,0.036036,0.008769
24,2004-01-30,0.003229,1.48e-06,0.006165,-0.002285,0.00845
25,2004-02-27,0.023125,2.06e-06,0.026706,0.01412,0.012586
26,2004-03-31,0.016428,2.13e-06,0.015337,0.006227,0.00911
27,2004-04-30,-0.01722,-1.5e-06,-0.018549,-0.022866,0.004317
28,2004-05-28,0.013562,2.66e-06,0.01759,0.003942,0.013648
29,2004-06-30,-0.027992,-4.14e-06,-0.023962,-0.032813,0.008851
30,2004-07-30,-0.038698,-5.41e-06,-0.033248,-0.04009,0.006842
31,2004-08-31,0.012832,1.92e-06,0.015056,0.003667,0.011389
32,2004-09-30,0.015733,2.21e-06,0.018877,0.0029,0.015977
33,2004-10-29,0.024328,4.69e-06,0.028883,0.01327,0.015613
34,2004-11-30,0.000235,1e-07,0.01034,-0.003848,0.014188
35,2004-12-31,-0.035697,-4.14e-06,-0.034975,-0.031512,-0.003463
36,2005-01-31,0.019111,2.66e-06,0.018408,0.016356,0.002052
37,2005-02-28,0.011638,2.71e-06,0.01426,-0.002212,0.016472
38,2005-03-31,0.003022,1.26e-06,0.009951,-0.004741,0.014692
39,2005-04-29,0.018028,2.45e-06,0.027324,0.003733,0.023591
40,2005-05-31,0.011651,1.07e-06,0.012911,0.005844,0.007067
41,2005-06-30,0.021689,3.15e-06,0.027398,0.005197,0.022201
42,2005-07-29,-0.007184,-9.4e-07,-0.004442,-0.001655,-0.002787
43,2005-08-31,0.010573,1.58e-06,0.016678,0.0052,0.011478
44,2005-09-30,-0.023686,-4.13e-06,-0.025135,-0.026305,0.00117
45,2005-10-31,0.015675,2.39e-06,0.021682,0.007683,0.013999
46,2005-11-30,0.00965,1.41e-06,0.015127,-0.000587,0.015714
47,2005-12-30,0.038574,5.59e-06,0.043428,0.017008,0.02642
48,2006-01-31,-0.01264,-3.1e-06,-0.009172,-0.014292,0.00512
49,2006-02-28,-0.007363,-7.5e-07,-0.006725,-0.005218,-0.001507
50,2006-03-31,-0.003616,1.3e-07,0.001215,-0.008055,0.00927
