,Date,equal_ret,market_ret,long_ret,short_ret,long_short
0,2002-01-31,-0.022308,-1e-08,-0.000772,-0.031044,0.030272
1,2002-02-28,0.074853,6.18e-06,0.080731,0.072658,0.008073
2,2002-03-28,-0.006753,-7.38e-06,0.00719,-0.014457,0.021647
3,2002-04-30,-0.017558,-1.42e-06,-2.7e-05,-0.043291,0.043264
4,2002-05-31,-0.067393,-9.85e-06,-0.060396,-0.079588,0.019192
5,2002-06-28,-0.106575,-1.281e-05,-0.082396,-0.121218,0.038822
6,2002-07-31,0.001579,1.23e-06,0.034587,-0.012697,0.047284
7,2002-08-30,-0.084539,-1.428e-05,-0.078189,-0.102223,0.024034
8,2002-09-30,0.030278,1.113e-05,0.043546,0.009214,0.034332
9,2002-10-31,0.118464,8.86e-06,0.131201,0.150898,-0.019697
10,2002-11-29,-0.048739,-7.96e-06,-0.05315,-0.062989,0.009839
11,2002-12-31,-0.001158,-5.31e-06,0.005371,-0.018982,0.024353
12,2003-01-31,-0.02387,-3.2e-06,-0.008942,-0.036677,0.027735
13,2003-02-28,0.013795,3.87e-06,0.025901,0.011704,0.014197
14,2003-03-31,0.090513,1.213e-05,0.105416,0.076903,0.028513
15,2003-04-30,0.115581,7.19e-06,0.111703,0.133903,-0.0222
16,2003-05-30,0.049526,2.61e-06,0.052853,0.046474,0.006379
17,2003-06-30,0.059859,3.28e-06,0.05334,0.072631,-0.019291
18,2003-07-31,0.040623,3e-06,0.037659,0.035592,0.002067
19,2003-08-29,0.029144,6e-08,0.026125,0.019264,0.006861
20,2003-09-30,0.070282,8.42e-06,0.084294,0.052559,0.031735
21,2003-10-31,0.050164,4.29e-06,0.051091,0.056161,-0.00507
22,2003-11-28,0.037442,6.91e-06,0.042146,0.02854,0.013606
23,2003-12-31,0.066175,3.5e-06,0.050857,0.071175,-0.020318
24,2004-01-30,0.026468,4.08e-06,0.02789,0.009556,0.018334
25,2004-02-27,-0.014726,-4.35e-06,-0.014194,-0.024012,0.009818
26,2004-03-31,-0.032846,-2.79e-06,-0.034813,-0.035483,0.00067
27,2004-04-30,0.002834,2.16e-06,-0.001617,-0.003814,0.002197
28,2004-05-28,0.016485,2.41e-06,0.020004,0.009282,0.010722
29,2004-06-30,-0.056112,-5.93e-06,-0.033809,-0.077137,0.043328
30,2004-07-30,-0.00455,8.7e-07,0.006446,-0.00833,0.014776
31,2004-08-31,0.035831,3.01e-06,0.028884,0.03392,-0.005036
32,2004-09-30,0.018835,2.36e-06,0.026485,0.010421,0.016064
33,2004-10-29,0.08018,7.89e-06,0.069121,0.073833,-0.004712
34,2004-11-30,0.045169,5.32e-06,0.042395,0.052178,-0.009783
35,2004-12-31,-0.028941,-3.91e-06,-0.01748,-0.04358,0.0261
36,2005-01-31,0.021499,4.41e-06,0.03598,0.013143,0.022837
37,2005-02-28,-0.044323,-4.81e-06,-0.034507,-0.048767,0.01426
38,2005-03-31,-0.052022,-5.22e-06,-0.030093,-0.066563,0.03647
39,2005-04-29,0.043439,6.39e-06,0.045735,0.032031,0.013704
40,2005-05-31,0.031725,2.77e-06,0.032416,0.016271,0.016145
41,2005-06-30,0.058638,6.53e-06,0.060001,0.050598,0.009403
42,2005-07-29,-0.020384,-3.08e-06,-0.022305,-0.021729,-0.000576
43,2005-08-31,0.005731,1.46e-06,0.00956,0.005891,0.003669
44,2005-09-30,-0.044935,-4.63e-06,-0.041509,-0.046259,0.00475
45,2005-10-31,0.031705,6.67e-06,0.036875,0.026358,0.010517
46,2005-11-30,0.013271,1.31e-06,0.013084,0.008375,0.004709
47,2005-12-30,0.076032,6.29e-06,0.071728,0.066635,0.005093
48,2006-01-31,0.014115,1.08e-06,0.016921,-0.005941,0.022862
49,2006-02-28,0.020872,2e-06,0.019986,0.028032,-0.008046
50,2006-03-31,0.007687,1.79e-06,0.015381,0.022718,-0.007337
51,2006-04-28,-0.039661,-3.91e-06,-0.041408,-0.048799,0.007391
52,2006-05-31,-0.036627,-3.8e-06,-0.024585,-0.044827,0.020242
53,2006-06-30,-0.022399,-1.5e-07,-0.015013,-0.034198,0.019185
54,2006-07-31,0.010072,2.92e-06,0.013758,0.011586,0.002172
55,2006-08-31,0.009375,2.79e-06,0.01381,0.005355,0.008455
56,2006-09-29,0.044151,5.55e-06,0.041818,0.035253,0.006565
57,2006-10-31,0.025958,3.4e-06,0.027238,0.01725,0.009988
58,2006-11-30,0.01475,1.71e-06,0.02174,0.007959,0.013781
59,2006-12-29,0.022285,2.85e-06,0.023245,0.020755,0.00249
60,2007-01-31,-0.002744,-2.6e-06,-0.002885,-0.011117,0.008232
61,2007-02-28,0.002616,1.56e-06,0.012697,-0.004615,0.017312
62,2007-03-30,0.02706,6e-06,0.032429,0.03043,0.001999
63,2007-04-30,0.014031,4.34e-06,0.026966,0.008729,0.018237
64,2007-05-31,-0.007665,-1.87e-06,0.003869,-0.011519,0.015388
65,2007-06-29,-0.040439,-3.22e-06,-0.041925,-0.047676,0.005751
66,2007-07-31,-0.036526,-2.85e-06,-0.027551,-0.061319,0.033768
67,2007-08-31,0.037856,8.42e-06,0.033438,0.032535,0.000903
68,2007-09-28,0.01035,2.33e-06,0.013955,-0.001221,0.015176
69,2007-10-31,-0.082778,-8.3e-06,-0.066855,-0.091045,0.02419
70,2007-11-30,-0.01111,-6.2e-07,-0.00895,-0.018215,0.009265
71,2007-12-31,-0.058451,-1.164e-05,-0.04415,-0.073456,0.029306
72,2008-01-31,-0.022497,-3.13e-06,-0.016167,-0.043219,0.027052
73,2008-02-29,-0.025715,-1.75e-06,-0.007498,-0.056142,0.048644
74,2008-03-31,0.034803,9e-06,0.042977,0.008118,0.034859
75,2008-04-30,0.027121,3.16e-06,0.027194,0.022693,0.004501
76,2008-05-30,-0.081955,-1.183e-05,-0.073036,-0.085847,0.012811
77,2008-06-30,-0.003958,-3.01e-06,0.023709,-0.04353,0.067239
78,2008-07-31,0.018784,3.2e-06,0.036058,0.007194,0.028864
79,2008-08-29,-0.140156,-2.16e-05,-0.130683,-0.159467,0.028784
80,2008-09-30,-0.263183,-3.507e-05,-0.197484,-0.285123,0.087639
81,2008-10-31,-0.205089,-2.729e-05,-0.20335,-0.219514,0.016164
82,2008-11-28,-0.011834,-3.08e-06,0.017945,-0.036891,0.054836
83,2008-12-31,-0.019021,-1.295e-05,0.033049,-0.018736,0.051785
84,2009-01-30,-0.161915,-2.452e-05,-0.133451,-0.166573,0.033122
85,2009-02-27,0.131556,1.904e-05,0.15659,0.103254,0.053336
86,2009-03-31,0.19813,1.888e-05,0.213098,0.18522,0.027878
87,2009-04-30,0.106821,1.214e-05,0.133953,0.111013,0.02294
88,2009-05-29,0.02835,-5.8e-07,0.054565,0.00545,0.049115
89,2009-06-30,0.067996,1.129e-05,0.076604,0.039567,0.037037
90,2009-07-31,0.071764,7.14e-06,0.057775,0.089747,-0.031972
91,2009-08-31,0.08111,8.55e-06,0.081793,0.080314,0.001479
92,2009-09-30,-0.048909,-4.06e-06,-0.03955,-0.07413,0.03458
93,2009-10-30,0.027958,1.017e-05,0.041102,0.00246,0.038642
94,2009-11-30,0.062535,6.72e-06,0.074606,0.043378,0.031228
95,2009-12-31,0.002076,-4.08e-06,-0.007866,0.016944,-0.02481
96,2010-01-29,0.050871,8.3e-06,0.058943,0.033499,0.025444
97,2010-02-26,0.069207,1.052e-05,0.071736,0.062075,0.009661
98,2010-03-31,0.083059,6.35e-06,0.07515,0.08647,-0.01132
99,2010-04-30,-0.079396,-1.43e-05,-0.075417,-0.099593,0.024176
100,2010-05-28,-0.024178,-1.78e-06,-0.001438,-0.047873,0.046435
101,2010-06-30,0.05716,1.248e-05,0.072469,0.041519,0.03095
102,2010-07-30,-0.038215,-5.24e-06,-0.037285,-0.043573,0.006288
103,2010-08-31,0.098803,1.692e-05,0.108458,0.066162,0.042296
104,2010-09-30,0.039088,6.57e-06,0.040069,0.046459,-0.00639
105,2010-10-29,0.019375,1.78e-06,0.025562,0.00943,0.016132
106,2010-11-30,0.070822,1.23e-05,0.075089,0.068843,0.006246
107,2010-12-31,0.01538,3.55e-06,0.018339,0.029006,-0.010667
108,2011-01-31,0.02749,3.98e-06,0.02268,0.039834,-0.017154
109,2011-02-28,-0.007546,-2.05e-06,-0.000322,-0.015858,0.015536
110,2011-03-31,0.017609,5.08e-06,0.022403,0.002497,0.019906
111,2011-04-29,-0.028051,-4.53e-06,-0.015902,-0.035317,0.019415
112,2011-05-31,-0.037966,-6.58e-06,-0.023348,-0.057982,0.034634
113,2011-06-30,-0.023827,-4.16e-06,-0.021072,-0.024328,0.003256
114,2011-07-29,-0.114563,-1.698e-05,-0.102658,-0.126546,0.023888
115,2011-08-31,-0.087563,-1.13e-05,-0.071569,-0.104285,0.032716
116,2011-09-30,0.136096,2.601e-05,0.172833,0.047729,0.125104
117,2011-10-31,-0.057094,-8.91e-06,-0.042066,-0.050398,0.008332
118,2011-11-30,-0.004485,1.18e-06,-0.005101,-0.008749,0.003648
119,2011-12-30,0.09198,9.87e-06,0.087642,0.100738,-0.013096
120,2012-01-31,0.037652,7.5e-06,0.038572,0.031621,0.006951
121,2012-02-29,0.020966,4.12e-06,0.02246,0.00728,0.01518
122,2012-03-30,-0.009477,-1.35e-06,-0.012788,-0.006205,-0.006583
123,2012-04-30,-0.05683,-9.2e-06,-0.037294,-0.064546,0.027252
124,2012-05-31,0.011999,2.33e-06,0.018219,-0.002394,0.020613
125,2012-06-29,-0.000877,2.73e-06,0.001467,-0.011751,0.013218
126,2012-07-31,0.027073,4.93e-06,0.03656,0.023524,0.013036
127,2012-08-31,0.039847,5.42e-06,0.035762,0.028989,0.006773
128,2012-09-28,-0.019093,-3.06e-06,-0.019104,-0.026835,0.007731
129,2012-10-31,0.001838,1.02e-06,0.009705,-0.006639,0.016344
130,2012-11-30,0.022102,2.43e-06,0.017901,0.016074,0.001827
131,2012-12-31,0.066802,1.036e-05,0.077601,0.057445,0.020156
132,2013-01-31,0.007171,1.71e-06,0.018706,-0.002474,0.02118
133,2013-02-28,0.035184,6.57e-06,0.027914,0.034606,-0.006692
134,2013-03-28,-0.008731,6.9e-07,-0.012848,-0.001565,-0.011283
135,2013-04-30,0.033738,5.49e-06,0.025265,0.032172,-0.006907
136,2013-05-31,-0.010316,-2.78e-06,-0.012186,-0.025147,0.012961
137,2013-06-28,0.057439,9.79e-06,0.061574,0.053958,0.007616
138,2013-07-31,-0.014628,-4.48e-06,-0.018354,-0.018181,-0.000173
139,2013-08-30,0.055115,7.17e-06,0.049495,0.061341,-0.011846
140,2013-09-30,0.03729,8.37e-06,0.040583,0.028602,0.011981
141,2013-10-31,0.027586,4.65e-06,0.020263,0.035612,-0.015349
142,2013-11-29,0.023224,4.03e-06,0.024921,0.02442,0.000501
143,2013-12-31,0.008299,-4.63e-06,0.007932,0.015763,-0.007831
144,2014-01-31,0.042787,7.23e-06,0.042994,0.055765,-0.012771
145,2014-02-28,-0.010823,-8.6e-07,-0.014722,-0.01557,0.000848
146,2014-03-31,-0.029393,-2.8e-07,-0.010815,-0.050265,0.03945
147,2014-04-30,0.00826,3.51e-06,0.017616,0.002424,0.015192
148,2014-05-30,0.041132,4.96e-06,0.034863,0.042651,-0.007788
149,2014-06-30,-0.02474,-2.3e-07,-0.02389,-0.028637,0.004747
150,2014-07-31,0.03034,6.47e-06,0.035453,0.025835,0.009618
151,2014-08-29,-0.041661,-3.78e-06,-0.04004,-0.055427,0.015387
152,2014-09-30,0.004404,1.01e-06,0.002248,-0.016103,0.018351
153,2014-10-31,-0.018651,1.96e-06,-0.004589,-0.029066,0.024477
154,2014-11-28,0.005994,1.44e-06,0.006927,-0.004606,0.011533
155,2014-12-31,-0.021424,-4.91e-06,-0.019119,-0.02203,0.002911
156,2015-01-30,0.063587,1.094e-05,0.048638,0.072657,-0.024019
157,2015-02-27,-0.007639,-2.7e-06,-0.008885,-0.017864,0.008979
158,2015-03-31,0.026629,3.65e-06,0.023358,0.027987,-0.004629
159,2015-04-30,0.005044,1.78e-06,0.006148,0.013039,-0.006891
160,2015-05-29,0.006491,-9e-08,0.011561,0.007364,0.004197
161,2015-06-30,-0.033238,2.09e-06,-0.022195,-0.044333,0.022138
162,2015-07-31,-0.049589,-9.55e-06,-0.043429,-0.050231,0.006802
163,2015-08-31,-0.067089,-9.39e-06,-0.046995,-0.072655,0.02566
164,2015-09-30,0.062907,1.439e-05,0.075204,0.047182,0.028022
165,2015-10-30,0.010741,4.6e-07,0.011956,-0.006524,0.01848
166,2015-11-30,-0.030268,-1.25e-06,-0.015317,-0.031556,0.016239
167,2015-12-31,-0.084156,-1.032e-05,-0.062754,-0.120434,0.05768
168,2016-01-29,0.006711,8e-08,0.007363,0.002964,0.004399
169,2016-02-29,0.075488,1.195e-05,0.075344,0.080257,-0.004913
170,2016-03-31,0.04877,2.91e-06,0.03497,0.06736,-0.03239
171,2016-04-29,-0.003569,2.54e-06,0.00206,-0.025951,0.028011
172,2016-05-31,-0.020579,-4.98e-06,-0.031598,-0.039202,0.007604
173,2016-06-30,0.055208,6.98e-06,0.056284,0.058848,-0.002564
174,2016-07-29,0.014268,4.2e-07,0.01313,0.013323,-0.000193
175,2016-08-31,0.008778,-7.7e-07,0.007831,0.004339,0.003492
176,2016-09-30,-0.044562,-3.87e-06,-0.04426,-0.052855,0.008595
177,2016-10-31,0.061794,7.4e-06,0.048919,0.065046,-0.016127
178,2016-11-30,0.019375,4.01e-06,0.028121,0.003302,0.024819
179,2016-12-30,0.027116,4.2e-06,0.008021,0.044695,-0.036674
180,2017-01-31,0.029623,8.41e-06,0.03596,0.0252,0.01076
181,2017-02-28,-0.005147,-1.9e-07,-0.013007,0.010252,-0.023259
182,2017-03-31,0.004822,2.14e-06,0.016997,-0.017607,0.034604
183,2017-04-28,-0.009635,2.31e-06,0.002334,-0.017101,0.019435
184,2017-05-31,0.036211,3.11e-06,0.046108,0.018379,0.027729
185,2017-06-30,0.007576,3.88e-06,0.007875,-0.005648,0.013523
186,2017-07-31,-0.024469,-1.95e-06,-0.01351,-0.03926,0.02575
187,2017-08-31,0.054299,4.3e-06,0.042954,0.050447,-0.007493
188,2017-09-29,0.001543,3.57e-06,0.000913,-0.003118,0.004031
189,2017-10-31,0.02133,3.48e-06,0.022059,0.01001,0.012049
190,2017-11-30,0.014385,2.23e-06,0.006569,0.018678,-0.012109
191,2017-12-29,0.03287,9.29e-06,0.039729,0.029442,0.010287
192,2018-01-31,-0.045162,-8.95e-06,-0.040878,-0.049767,0.008889
193,2018-02-28,-0.005727,-5.69e-06,0.000581,-0.015674,0.016255
194,2018-03-29,0.014633,2.11e-06,0.019656,0.007787,0.011869
195,2018-04-30,0.034301,3.43e-06,0.037873,0.018363,0.01951
196,2018-05-31,0.002738,5.4e-07,0.012687,-0.024892,0.037579
197,2018-06-29,-0.000532,4.6e-06,0.002061,-0.004746,0.006807
198,2018-07-31,0.017625,4.86e-06,0.032183,0.002422,0.029761
199,2018-08-31,-0.01569,3.3e-07,-0.010572,-0.031052,0.02048
200,2018-09-28,-0.099661,-1.618e-05,-0.102559,-0.091587,-0.010972
201,2018-10-31,-0.003936,2.06e-06,0.018692,-0.027123,0.045815
202,2018-11-30,-0.095697,-1.568e-05,-0.07355,-0.110825,0.037275
203,2018-12-31,0.124944,1.421e-05,0.144591,0.152106,-0.007515
204,2019-01-31,0.05042,6.96e-06,0.043337,0.037613,0.005724
205,2019-02-28,-0.008827,1.15e-06,-0.010604,0.010994,-0.021598
206,2019-03-29,0.024222,6.65e-06,0.014572,0.01091,0.003662
207,2019-04-30,-0.059822,-9.5e-06,-0.071569,-0.075409,0.00384
208,2019-05-31,0.050066,1.196e-05,0.049592,0.047231,0.002361
209,2019-06-28,-0.005451,4.19e-06,0.007901,-0.025433,0.033334
210,2019-07-31,-0.057765,-6.03e-06,-0.040239,-0.082289,0.04205
211,2019-08-30,0.019203,2.74e-06,0.020379,0.015063,0.005316
212,2019-09-30,0.011005,3.77e-06,0.019353,-0.011527,0.03088
